Name,Mover Score,Pub Rank,All time high pub rank,All time low pub rank
package name,Calculated score based on all the other metrics,current rank,highest ever package rank,lowest ever package rank
flutter_advanced_segment,715,625,454,658
google_mlkit_pose_detection,717,626,505,799
time,814,627,627,1676
screenshot_callback,712,628,488,664
headset_connection_event,450,2873,2735,2971
dots_indicator,734,630,630,1021
lucide_icons_flutter,802,631,559,1505
separated_column,492,2872,1182,2872
flutter_linkify,748,633,633,1022
easy_isolate,832,634,531,1911
cropperx,714,635,466,687
directed_graph,870,636,502,2214
dashed_circular_progress_bar,709,637,525,657
gesture_x_detector,731,638,476,853
flutter_facebook_auth,729,639,639,1028
markdown,764,640,640,1218
torch_light,709,641,487,643
wifi_scan,698,642,504,642
get_ip_address,684,643,489,643
simple_animations,726,644,644,1035
system_info_plus,480,2870,1159,2959
loading_animation_widget,732,646,68,1043
window_manager,762,647,87,1036
fancy_shimmer_image,685,648,370,648
swipe_image_gallery,771,649,506,1797
http_client,493,2862,1152,2887
hashlib,744,651,499,996
launchdarkly_flutter_client_sdk,499,2856,1099,2941
network_info_plus,719,653,118,1033
keyboard_actions,731,654,654,1047
windows_notification,746,655,553,966
nsd,734,656,520,926
flutter_downloader,737,657,657,1046
puppeteer,872,658,120,2678
expand_widget,701,659,496,659
flutter_blue_plus,827,660,660,2592
back_button_interceptor,837,661,661,2581
flutter_advanced_avatar,686,662,518,757
watcher,756,663,663,1147
calendar_date_picker2,720,664,114,1066
flutter_staggered_animations,737,665,665,1067
turkish,448,2854,2278,2925
flutter_webrtc,724,667,128,1068
open_filex,719,668,668,1062
easy_debounce,723,669,669,1059
flutter_speed_dial,736,670,670,1060
google_gemini,475,2848,1609,2848
desktop_drop,722,672,672,1065
flutter_easyloading,729,673,673,1073
photo_manager,839,674,674,2587
string_scanner,743,675,675,1146
flutter_native_contact_picker,815,676,510,1718
universal_io,713,677,118,1072
charset_converter,702,678,503,678
coupon_uikit,685,679,450,679
supabase_flutter,877,680,103,2272
flutter_multi_formatter,728,681,681,1083
clipboard,717,682,682,1076
flutter_scroll_shadow,818,683,570,2009
flutter_switch,735,684,684,1079
eraser,687,685,537,685
ffigen,842,686,278,2707
socket_io_client,689,687,74,1085
pull_down_button,719,688,271,1081
float_column,801,689,556,1929
sentry_dio,696,690,544,690
flutter_vision,478,2845,838,2972
geodesy,683,692,529,692
flutter_sound,811,693,78,2715
route_transitions,447,2833,2036,2833
signature,716,695,120,1089
random_text_reveal,487,2830,1343,2830
google_mlkit_image_labeling,708,697,535,846
